1606808400,19425.49,19476.09,19475.83,19435.02,39.66579362
1606808700,19395.63,19435.02,19435.02,19411.46,18.38169126
1606809000,19406.94,19475.97,19410.02,19475.97,26.20626129
1606809300,19479.22,19556.44,19479.22,19524.69,41.8083526
1606809600,19510.53,19568.91,19525.97,19558.21,47.05511106
1606809900,19521.85,19560.81,19556.16,19557.67,30.27532663
1606810200,19536.67,19555.69,19555.69,19539.45,17.04679527
1606810500,19510.1,19551.78,19536.67,19516.27,34.97203458
1606810800,19493.03,19556.66,19514.85,19508.7,27.59734033
1606811100,19490.79,19534.36,19508.6,19534.36,31.1402495
1606811400,19539.17,19577.47,19543.92,19569.14,37.65457969
1606811700,19548.89,19575.79,19568.16,19548.9,20.25579265
1606812000,19477.77,19548.8,19548.8,19492.51,31.33229067
1606812300,19478.63,19519.73,19492.47,19481.81,25.32553034
1606812600,19475.01,19505.03,19481.31,19475.01,23.4926638
1606812900,19450,19531.2,19475.01,19479.29,28.85154158
1606813200,19471.39,19535.73,19480.64,19494.67,43.13542941
1606813500,19462.21,19504.17,19493.99,19477.61,18.30865706
1606813800,19469.02,19489.63,19477.62,19470.16,17.62720633
1606814100,19470.15,19560.02,19470.16,19538.98,46.84731235
1606814400,19501.93,19542.74,19537.19,19502.54,12.39522947
1606814700,19446.71,19503.31,19501.9,19462.24,28.78122688
1606815000,19440,19461.98,19456.66,19450.77,16.57977297
1606815300,19449.88,19530.37,19450.77,19508.48,46.44051621
1606815600,19461.01,19514.07,19505.46,19508.36,23.49487864
1606815900,19500.48,19548.94,19503.38,19518.36,18.52641615
1606816200,19509.73,19554.17,19518.37,19542.96,41.69604262
1606816500,19547.93,19583.01,19547.93,19579.37,14.70576983
1606816800,19573.66,19663.99,19579.36,19662.97,60.37659935
1606817100,19657.23,19765.96,19662.09,19739.43,200.78777796
1606817400,19690.48,19751.54,19739.43,19735.89,90.02114775
1606817700,19680.62,19785,19732.33,19716.01,77.43057272
1606818000,19654.14,19717.35,19715.73,19707.21,57.64642892
1606818300,19697.94,19782.73,19709.72,19771.91,56.50400569
1606818600,19722.98,19778.39,19774.7,19749.05,95.30635328
1606818900,19686.69,19760.58,19750.78,19721,61.00721261
1606819200,19721,19778.91,19721.01,19778.91,78.58462266
1606819500,19750.89,19820,19778.92,19820,156.90304452
1606819800,19796.02,19824,19820,19822.84,57.34547238
1606820100,19746.95,19822.83,19822.83,19757.83,44.57932789
1606820400,19750.6,19825.6,19753.82,19825.58,62.8790291
1606820700,19821.95,19899.99,19825.58,19893.91,228.38617351
1606821000,19822.66,19915.14,19897.53,19879.43,178.49657689
1606821300,19832.07,19907.91,19880.05,19832.71,73.95665691
1606821600,19516.12,19841.58,19833.7,19568.61,535.15192655
1606821900,19002.48,19585.53,19574.67,19354.91,941.04245156
1606822200,19362.68,19473.51,19362.68,19400.04,235.08902405
1606822500,19262.09,19407.51,19400,19388,235.62509731
1606822800,19388.76,19556.79,19388.77,19515.76,106.93920078
1606823100,19501.62,19592.08,19520.93,19545.16,107.4001182
